skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd177	2	4	1	2		24	Skillname239	Skillsd239	Skillld239	Skillan239	StrSkill3	23												2				14					2	StrSkill22	StrSkill23	toht																						1																				40	Sksyn	Skillname239	2		63	Skillname223	Poisdplev	par8		63	Skillname225	Poisdplev	par8		63	Skillname233	Poisdplev	par8																	0
sd178	2	5	2	2		26	Skillname240	Skillsd240	Skillld240	Skillan240	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		10					9																		skill('sk227'.ln56)																	40	Sksyn	Skillname240	2		63	Skillname226	Firedplev	par8		63	Skillname230	Firedplev	par8		63	Skillname235	Firedplev	par8		63	Skillname245	Firedplev	par8												0
sd179	3	3	2	3		42	Skillname241	Skillsd241	Skillld241	Skillan241	StrSkill3	5																9					5	StrTwisters		min(ln34/2,par5)																						1					12	StrSkill48		par2												40	Sksyn	Skillname241	2							63	Skillname251	Damplev	par8		63	Skillname246	Damplev	par8		63	Skillname231	Damplev	par7												0
sd180	1	5	3	1		14	Skillname242	Skillsd242	Skillld242	Skillan242	StrSkill3																	1					47	StrManaHeal		(par4+par5*lvl)+((skill('sk226'.blvl)+skill('sk231'.blvl))*par8)/3	(par6+par7*lvl)+(skill('sk226'.blvl)+skill('sk231'.blvl))*par8						13			(lvl-1)*par3																																40	Sksyn	Skillname242	2		52	StrOakSynergy	StrManaHealed	par8/3	par8	52	StrCarrionSynergy	StrManaHealed	par8/3	par8																					0
sd181	2	3	2	2		58	Skillname243	Skillsd243	Skillld243	Skillan243	StrSkill3																	1					3	EskillLifeSteal	StrSkill23	par3+lvl/4		7	StrCritStrikeChance		ln12																	12	StrSkill20		500+blvl*50		6	StrPercentMoveSpeed		par4+blvl*2		18	StrHungerBuffs																																												0
sd182	2	4	3	2		28	Skillname244	Skillsd244	Skillld244	Skillan244	StrSkill3	5																1					10					9					12	StrSkill48		ln12																																40	Sksyn	Skillname244	2		63	Skillname229	Damplev	par8		63	Skillname241	Damplev	par8		63	Skillname246	Damplev	par8																	0
sd183	3	5	1	3		44	Skillname245	Skillsd245	Skillld245	Skillan245	StrSkill3	5																11					10					9					8															1																				40	Sksyn	Skillname245	2		63	Skillname230	Damplev	par8		63	Skillname235	Damplev	par8		63	Skillname250	Damplev	par8																	0
sd184	3	5	2	3		46	Skillname246	Skillsd246	Skillld246	Skillan246	StrSkill3	5																11					10					9					8															1																				40	Sksyn	Skillname246	2		63	Skillname231	Damplev	par8		63	Skillname241	Damplev	par8		63	Skillname251	Damplev	par8																	0
sd185	1	4	1	1		4	Skillname247	Skillsd247	Skillld247	Skillan247	StrSkill3																	1					19	StrSkill18		ln78		3	StrReturns	StrDmgToAtt	edmn		13			(lvl-1)*par1																																																																			0
sd186	1	6	2	1		18	Skillname248	Skillsd248	Skillld248	Skillan248	StrSkill3																	2	StrSkill4	StrSkill23	ln12		9			ln12																						2	StrSkill21	StrSkill23	lvl*10		2	StrSkill22	StrSkill23	skill('sk227'.ln12)		13			lvl*2		1					40	Sksyn	Skillname248	2		63	Skillname222	Damplev	par6		63	Skillname228	AttRateplev	skill('sk227'.par2)		63	Skillname228	Damplev	par6		63	Skillname238	Damplev	par6		63	Skillname229	Damplev	par6		63	Skillname224	Damplev	-12		0
sd187	2	6	1	2		30	Skillname249	Skillsd249	Skillld249	Skillan249	StrSkill3	7	ln34+skill('sk232'.blvl)*par8											2				1					2	StrSkill4	StrSkill23	ln34+skill('sk232'.blvl)*par8		2	StrSkill30	StrSkill23	toht		7	StrSkill11		min((par5+lvl)-1,par6)																																40	Sksyn	Skillname249	2		63	Skillname233	Damplev	par8																											0
sd188	3	6	1	3		50	Skillname250	Skillsd250	Skillld250	Skillan250	StrSkill3	5													ml623			22					10					9																				1					19	StrSkill18		par3		12	StrSkill20		ln12							40	Sksyn	Skillname250	2		63	Skillname235	Firedplev	par8		63	Skillname230	Firedplev	par8							63	Skillname245	Firedplev	par8												0
sd189	3	6	2	3		48	Skillname251	Skillsd251	Skillld251	Skillan251	StrSkill3	5																10																														1					19	StrSkill18		par3		12	StrSkill20		ln12							40	Sksyn	Skillname251	2		63	Skillname231	Damplev	par8		63	Skillname246	Damplev	par8							63	Skillname241	Damplev	par8												0
sd190	1	1	2	1			Skillname252	Skillsd252	Skillld252	Skillan252	StrSkill3	5																1					10																									5	StrSkillBombs		par1+blvl/par2		18	StrIncreasedBombs														40	Sksyn	Skillname252	2		63	Skillname257	Firedplev	par8		63	Skillname262	Firedplev	par8		63	Skillname272	Firedplev	par8		63	ChainLtngSentry	Firedplev	par8		63	Skillname263	Firedplev	par8		63	Skillname273	Firedplev	par8		0
sd191	2	1	2	2		20	Skillname253	Skillsd253	Skillld253	Skillan253	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd192	2	1	3	2		22	Skillname254	Skillsd254	Skillld254	Skillan254	StrSkill3	5																1			100		11					10					9					5	StrNearbyEnemies		min(2+lvl/10,3)-1																											40	Sksyn	Skillname254	2		63	Skillname274	Damplev	par8		63	Skillname265	Damplev	par8		63	Skillname269	Damplev	par8																	0
sd193	3	1	2	3		40	Skillname255	Skillsd255	ChargeUpSkillDesc	Skillan255	StrSkill3	25	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	Eskillpowerup3	Eskillpuddgmper	3*ln12		2	Eskillpowerup2	Eskillpuddgmper	2*ln12		2	Eskillpowerup1	Eskillpuddgmper	ln12																																																														0
sd194	3	1	3	3		42	Skillname256	Skillsd256	Skillld256	Skillan256	StrSkill3	15	clc2											5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12+skill('sk270'.blvl)*par8		36	EskillKickSing	EskillKickPlur	min(lvl/6+1,3)																																40	Sksyn	Skillname256	2		63	Skillname271	Damplev	10																											0
sd195	1	2	1	1		2	Skillname257	Skillsd257	Skillld257	Skillan257	StrSkill3	8													ml389			1					26					23	StrSkill20				5	ESkillSpikes		par1+lvl/par2																																40	Sksyn	Skillname257	2		63	Skillname252	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		63	Skillname263	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		63	Skillname273	Ltngdplev	par8		0
sd196	1	2	3	1		4	Skillname258	Skillsd258	Skillld258	Skillan258	StrSkill3	5																73	WeapDamsk		3	4	9					12	StrSkill20		ln12																	1																				40	Sksyn	Skillname258	2		63	Skillname267	Damplev	par8		63	Skillname278	Damplev	par8																						0
sd197	2	2	1	2		36	Skillname259	Skillsd259	Skillld259	Skillan259	StrSkill3																	1					12	StrSkill20		ln56		2	StrSkill89	StrSkill23	edln																	2	StrSkill106	StrSkill23	((110*blvl)*(par4-par3))/(100*(blvl+6))+par3		18	StrBOSAtkSpd																																																	0
sd198	3	2	1	3		44	Skillname260	Skillsd260	ChargeUpSkillDesc	Skillan260	StrSkill3	25			fire	enma	exma	fire	enma	exma	fire	enma+(m1eo*50)/256	exma+(m1ey*50)/256	2	ml557			1					2	StrSkill22	StrSkill23	toht		17	Eskillfistsoffire1	Eskillpowerup3	(m1eo*50)/256	(m1ey*50)/256	19	Eskillfistsoffire2	Eskillpowerup2	par1		24	Eskillfistsoffire1	Eskillpowerup1																												40	Sksyn	Skillname260	2		63	Skillname281	Firedplev	par8																											0
sd199	3	2	3	3		46	Skillname261	Skillsd261	Skillld261	Skillan261	StrSkill3	19	ln12											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln12+skill('sk252'.blvl)*par8																																					40	Sksyn	Skillname261	2		63	Skillname253	Damplev	par8																											0
sd200	1	3	1	1		6	Skillname262	Skillsd262	Skillld262	Skillan262	StrSkill3	5																10																														1					5	StrBolts		ln34+blvl/3												40	Sksyn	Skillname262	2		63	Skillname252	Ltngdplev	par7		63	Skillname277	Ltngdplev	par7		63	Skillname272	Ltngdplev	par8		63	ChainLtngSentry	Ltngdplev	par8												0
sd201	1	3	2	1		8	Skillname263	Skillsd263	Skillld263	Skillan263	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname263	2		63	Skillname252	Firedplev	par8		63	Skillname273	Firedplev	par8																						0
sd202	2	3	2	2		26	Skillname264	Skillsd264	Skillld264	Skillan264	StrSkill3																	7	StrSkill24		dm12																																																																																		0
sd203	2	3	3	2		24	Skillname265	Skillsd265	Skillld265	Skillan265	StrSkill3																	2	StrSkill25	StrSkill23	-min(ln56,95)		2	StrSkill31	StrSkill23	ln78/2		12	StrSkill20		ln34																	1					19	StrSkill56		dm12																																															0
sd204	3	3	2	3		50	Skillname266	Skillsd266	ChargeUpSkillDesc	Skillan266	StrSkill3	25			pois	(((miss('ml747'.edns)*(100+stat('is332'.accr)))/100)*25)/256	(((miss('ml747'.edxs)*(100+stat('is332'.accr)))/100)*25)/256				pois	(((miss('ml748'.edns)*(100+stat('is332'.accr)))/100)*25)/256	(((miss('ml748'.edxs)*(100+stat('is332'.accr)))/100)*25)/256	1	ml747		ml748	1					2	StrSkill22	StrSkill23	toht		38	Eskillpoison3	Eoveronesecond	(((miss('ml748'.edns)*(100+stat('is332'.accr)))/100)*25)/256	(((miss('ml748'.edxs)*(100+stat('is332'.accr)))/100)*25)/256	2	Eskillpowerup2	Eskillpudmana	ln12		38	Eskillpoison1	Eoveronesecond	(((miss('ml747'.edns)*(100+stat('is332'.accr)))/100)*25)/256	(((miss('ml747'.edxs)*(100+stat('is332'.accr)))/100)*25)/256																										40	Sksyn	Skillname266	2		63	Skillname279	Poisdplev	12																											0
sd205	1	4	3	1		10	Skillname267	Skillsd267	Skillld267	Skillan267	StrSkill3	24												1				61	StrSkill3	EskillPerBlade	usmc	10	73	WeapDamsk		3	4	9					2	StrSkill22	StrSkill23	toht												5	StrSkill115		par3																	40	Sksyn	Skillname267	2		63	Skillname258	Damplev	par8		63	Skillname278	Damplev	par8																						0
sd206	2	4	1	2		30	Skillname268	Skillsd268	Skillld268	Skillan268	StrSkill3																	1					12	StrSkill20		ln56		3	StrSkill54	StrSkill23	dm12		3	StrPhysDmgRed	StrSkill23	ln78/2		3	StrSkill85	StrSkill23	min(ln34,60)																																																														0
sd207	2	4	2	2		38	Skillname269	Skillsd269	Skillld269	Skillan269	StrSkill3																	1					2	StrSkill31	StrSkill23	(lvl-1)*par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
sd208	3	4	1	3		58	Skillname270	Skillsd270	ChargeUpSkillDesc	Skillan270	StrSkill3	25			ltng	enma	exma	ltng	m2en	m2ex	ltng	m3en	m3ex	2		ml559	ml558	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillthunder3	m3en	m3ex	62	Eskillpowerup2	Eskillthunder2	m2en	m2ex	24	Eskillthunder1	Eskillpowerup1																												40	Sksyn	Skillname270	2		63	Skillname281	Ltngdplev	par8																											0
sd209	3	4	3	3		48	Skillname271	Skillsd271	Skillld271	Skillan271	StrSkill3	16												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillfistsoffire1	StrSkill23	ln12+skill('sk255'.blvl)*par8																	19	StrSkill18		par3																	40	Sksyn	Skillname271	2		63	Skillname256	Damplev	par8																											0
sd210	1	6	1	1		60	ChainLtngSentry	ChainLtngSentrySD	ChainLtngSentryLD	ChainLtngSentryS	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	10																	40	Sksyn	ChainLtngSentry	2		63	Skillname257	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8																	0
sd211	1	5	2	1		14	Skillname273	Skillsd273	Skillld273	Skillan273	StrSkill3	8	0	3														1					59	StrSkill5		(enms*25)/768	(exms*25)/768																					3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname273	2		42	Skillname263	Rangplev	0	5	63	Skillname252	Firedplev	par7		63	Skillname263	Firedplev	par8		63	Skillname277	Firedplev	par7												0
sd212	2	4	3	2		34	Skillname274	Skillsd274	Skillld274	Skillan274	StrSkill3	5																1					9																									19	StrSkill18		min(par7+blvl/2,8)		12	StrSkill48		min(max(edln,0),50)												40	Sksyn	Skillname274	2		63	Skillname254	Damplev	par8		63	Skillname265	Damplev	par8		63	Skillname269	Damplev	par8																	0
sd213	3	5	1	3		52	Skillname275	Skillsd275	ChargeUpSkillDesc	Skillan275	StrSkill3	25			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				1					2	StrSkill22	StrSkill23	toht		12	Eskillbladesofice3	Eskillpowerup3	edln		19	Eskillbladesofice2	Eskillpowerup2	par1		24	Eskillbladesofice1	Eskillpowerup1	par1																											40	Sksyn	Skillname275	2		63	Skillname281	Colddplev	par8																											0
sd214	3	5	3	3		54	Skillname276	Skillsd276	Skillld276	Skillan276	StrSkill3	15	clc2											5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12																																																																								0
sd215	1	6	2	1		16	Skillname277	Skillsd277	Skillld277	Skillan277	StrSkill3	5																1					10					9					37	StrSkill18		skill('sk312'.par3)+skill('sk312'.par4)*(lvl-1)												3	ESkillShoots	ESkillTimes	par1+blvl/3		38	Corexpdam	StrSkill46	skill('sk312'.par1)	skill('sk312'.par2)											40	Sksyn	Skillname277	2		63	Skillname252	Damplev	par8		63	Skillname273	Damplev	par8		63	Skillname262	Damplev	par8																	0
sd216	1	5	3	1		18	Skillname278	Skillsd278	Skillld278	Skillan278	StrSkill3	5																1					12	StrSkill20		ln12		73	WeapDamsk		3	4	9																																																																						0
sd217	2	6	1	2		28	Skillname279	Skillsd279	Skillld279	Skillan279	StrSkill3																	1					12	StrSkill20		ln12		14																																								40	Sksyn	Skillname279	2		63	Skillname266	Poisdplev	par8																											0
sd218	2	6	2	2		32	Skillname280	Skillsd280	Skillld280	Skillan280	StrSkill3																	1					2	StrSkill54	StrSkill23	(((110*(lvl-1))/(lvl+5))*(par4-par3))/100+par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
sd219	3	6	2	3		56	Skillname281	Skillsd281	ChargeUpSkillDesc	Skillan281	StrSkill3	25			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	1	ml563	ml568	ml569	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillphoenix3	m3en	m3ex	62	Eskillpowerup2	Eskillphoenix2	m2en	m2ex	38	StrSkill83	StrSkill34	(miss('ml567'.edns)*75)/256	(miss('ml567'.edxs)*75)/256	62	Eskillpowerup1	Eskillphoenix1	m1en	m1ex																					40	Sksyn	Skillname281	2		63	Skillname260	Firedplev	10		63	Skillname260	AFDImm	6		63	Skillname270	Ltngdplev	13		63	Skillname275	Colddplev	10												0
sd220						2	Runeword22	Runeword22	Runeword22	Runeword22	StrSkill3																																																																																																						0
sd221						20	Blink	BlinkShortDesc	BlinkShortDesc	Blink	StrSkill3																	1																																																																																					0
sd222						46	skillname149	skillsd149	skillld149	skillan149	StrSkill3																	1					3	StrSkill101	StrSkill23	ln34/2		3	StrSkill100	StrSkill23	ln34/2		3	StrSkill102	StrSkill23	ln34/2		12	StrSkill20		len																											40	Sksyn	skillname149	2		67	skillname138	Secplev2	par8/25		67	skillname155	Secplev2	par8/25																						0
sd223	1	6	2	1		60	HolyNova	HolyNovaShortDesc	HolyNovaLongDesc	HolyNova	StrSkill3	5																1					47	StrSkill50		ln12+(skill('sk99'.blvl)+skill('sk371'.blvl))*par7	ln12+(skill('sk99'.blvl)+skill('sk371'.blvl))*par7	10																																								40	Sksyn	HolyNova	2		63	skillname101	Magdplev	par8												67	skillname99	Healplev	par7		67	HolyLight	Healplev	par7							0
sd224	1	3	2	1		62	HolyLight	HolyLightShortDesc	HolyLightLongDesc	HolyLight	StrSkill3																	1					47	StrSkill50		ln12+(skill('sk99'.blvl)+skill('sk364'.blvl))*par7	ln34+(skill('sk99'.blvl)+skill('sk364'.blvl))*par7	10																																								40	Sksyn	HolyLight	2																	67	skillname99	Healplev	par7		67	HolyNova	Healplev	par7							0
sd225	3	5	2	3		60	IceBarrage	IceBarrageShortDesc	IceBarrageLongDesc	IceBarrage	StrSkill3	5																1					7	IceLances		par5+min(blvl/3,par6)		10																				19	StrSkill18		ln12																	40	Sksyn	IceBarrage	2		63	skillname39	Colddplev	par8		63	skillname55	Colddplev	par8																						0
sd226						2	skillname31	skillsd31	skillxld31	skillan31	StrSkill3	6												1				1					12	StrSkill62		edln		10					2	StrSkill22	StrSkill23	toht												19	StrSkill18		par1																	40	Sksyn	skillname31	2		63	skillname11	Colddplev	par8		63	skillname21	FrezLenplev	par7																						0
sd227	3	4	3	3		60	Gust	GustShortDesc	GustLongDesc	Gust	StrSkill3																	1					12	StrCooldown		max(163-lvl*5,13)																																																																													0
sd228	3	4	1	3		60	BloodWarp	BloodWarpShortDesc	BloodWarpLongDesc	BloodWarp	StrSkill3																	1					3	StrLifeCost	StrPercentMaxHP	-ln12		12	StrCooldown		max(150-lvl*5,0)																																																																								0
sd229	3	1	3	1		62	ColdEnchant	ColdEnchantShortDesc	ColdEnchantLongDesc	ColdEnchant	StrSkill3																	1					2	StrSkill30	StrSkill23	toht		10					12	StrSkill20		ln12																																40	Sksyn	ColdEnchant	2		63	skillname60	Colddplev	par8																											0
sd230	1	5	2	1		64	Combustion	CombustionShortDesc	CombustionLongDesc	Combustion	StrSkill3	5													ml709			1					11					10					9					8																														40	Sksyn	Combustion	2		63	skillname36	Firedplev	par8		63	skillname47	Firedplev	par8																						0
sd231	1	3	3	1		66	LesserHydra	LesserHydraShortDesc	LesserHydraLongDesc	LesserHydra	StrSkill3	5																1					24	StrSkill113				12	StrSkill20		ln12																																					40	Sksyn	skillname62	2		63	skillname36	Firedplev	par7		63	skillname62	Firedplev	par8																						0
sd232	2	3	1	2		34	Desecrate	DesecrateShortDesc	DesecrateLongDesc	Desecrate	StrSkill3	5																1					14																																													40	Sksyn	skillname83	2		63	skillname73	Poisdplev	par8		63	skillname92	Poisdplev	par8																						0
sd233	1	1	3	3		62	CurseMastery	CurseMasteryShortDesc	CurseMasteryLongDesc	CurseMastery	StrSkill3																																															5	StrMaxCurses		1+stat('is368'.accr)																																																				0
sd234	1	2	1	2		64	DarkPact	DarkPactShortDesc	DarkPactLongDesc	DarkPact	StrSkill3	5																1					59	StrPerCurse	StrMagDmg	edmn	edmx	19	StrSkill18		par1+skill('sk374'.blvl)/3																																					40	Sksyn	DarkPact	2		63	CurseMastery	Magdplev	par8		42	CurseMastery	StrIncRadiusplev	0	6	63	skillname76	Magdplev	16		63	StrAllCurses	Magdplev	par7												0
sd235	1	5	1	1		64	Joust	JoustShortDesc	JoustLongDesc	Joust	StrSkill3	7	clc1											2				1					2	StrCritStrike	StrSkill24	clc2		2	StrSkill30	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1												12	StrCooldown		75		2	StrSkill89	StrSkill23	2*blvl		18	StrJoustIncMS																																												0
sd236				2		2	LesserFade	Skillsd268	Skillld268	LesserFade	StrSkill3																	1					12	StrSkill20		ln56		3	StrSkill54	StrSkill23	dm12		3	StrSkill85	StrSkill23	dm34																																																																			0
sd237	1	5	1	1		12	Skillname272	Skillsd272	Skillld272	Skillan272	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname272	2		63	Skillname257	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8																	0
sd238						24	ForceMove	ForceMoveShort	ForceMoveLong	ForceMove																																																																																																							0
sd239						25	skillname66	skillsd66	skillld66	skillan66	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1+lvl/3																	2	StrPhysDmgResist	StrSkill23	-(par5+par6*lvl)		18	StrAmpDmgPhysRes														40	Sksyn	skillname66	2		63	CurseMastery	StrRedPhysDmgResplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd240						26	skillname72	skillsd72	skillld72	skillan72	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1+lvl/3		3	StrSkill38	StrSkill23	-ln56																																40	Sksyn	skillname72	2		63	CurseMastery	StrRedDmgplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd241						27	skillname76	skillsd76	skillld76	skillan76	StrSkill3																	1					19	StrSkill18		par1+lvl/3		12	StrSkill20		ln34		7	StrSkill55		ln56																																40	Sksyn	skillname76	2		63	CurseMastery	StrIncDmgRet	par8		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd242						28	skillname82	skillsd82	skillld82	skillan82	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1+lvl/3																	2	StrLifeSteal	StrSkill23	par5+par6*lvl		18	StrLifeTapInc														40	Sksyn	skillname82	2		63	CurseMastery	StrIncLLplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd243						29	skillname87	skillsd87	skillld87	skillan87	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1+lvl/3																	2	StrAttCastRate	StrSkill23	-(par6+lvl)		2	StrMoveSpeed	StrSkill23	-(par5+lvl)		18	StrDecrepRedDesc									40	Sksyn	skillname87	2		63	CurseMastery	StrAttCastRateplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd244						30	skillname91	skillsd91	skillld91	skillan91	StrSkill3																	1										12	StrSkill20		ln34		19	StrSkill18		par1+lvl/3												3	StrSkill54	StrSkill23	-1*(par5+par6*lvl)		18	StrLowerResDesc														40	Sksyn	skillname91	2		63	CurseMastery	StrLowResRedplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
