description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm786	1			100	18	361			2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm787	1			100	18	361			2	"armo,mag,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm788	1			100	18	361			2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm789	1			100	18	361			2	"armo,rar,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm790	1			100	18	361			2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm791	1			100	18	361			2	"armo,set,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm792	1			100	18	361			2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm793	1			100	18	361			2	"armo,uni,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm794	1			100	18	361			2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm795	1			100	18	361			2	"armo,crf,sock"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm796																	void																																																																																							0
cm797																	void																																																																																							0
cm798	1	1		100	16	361	250		2	"weap,mag,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm799	1	1		100	16	361	250		2	"weap,rar,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm800	1	1		100	16	361	250		2	"weap,set,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm801	1	1		100	16	361	250		2	"weap,uni,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm802	1	1		100	16	361	250		2	"weap,crf,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm803																	void																																																																																							0
cm804	1	1		100	16	361	250		2	"armo,mag,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm805	1	1		100	16	361	250		2	"armo,rar,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm806	1	1		100	16	361	250		2	"armo,set,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm807	1	1		100	16	361	250		2	"armo,uni,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm808	1	1		100	16	361	250		2	"armo,crf,sock"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm809																	void																																																																																							0
cm810																	void																																																																																							0
cm811																	void																																																																																							0
cm812	1	1		100	16	361	287		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		2	2	pr270	100		1001	1001	pr29	100		40	80																																																																					0
cm813	1	1		100	16	361	325		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		3	3	pr270	100		1001	1001	pr15	100		100	250																																																																					0
cm814	1	1		100	16	361	362		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		4	4	pr270	100		1001	1001	pr331	100		3	6																																																																					0
cm815	1	1		100	16	361	400		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		5	5	pr270	100		1001	1001	pr100	100		200	300	pr98	100		125	175																																																																0
cm816	1	1		100	16	361	437		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		6	6	pr270	100		1001	1001	pr75	100		-50	-25																																																																					0
cm817	1	1		100	16	361	475		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		7	7	pr270	100		1001	1001	pr59	100		20	30																																																																					0
cm818	1	1		100	16	361	512		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		4	6																																																																					0
cm819	1	1		100	16	361	550		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		2	5																																																																					0
cm820	1	1		100	16	361	587		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		10	10	pr270	100		1001	1001	pr11	100		30	50																																																																					0
cm821	1	1		100	16	361	625		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		11	11	pr270	100		1001	1001	pr79	100		8	12																																																																					0
cm822																	void																																																																																							0
cm823	1	1		100	16	361	647		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		12	12	pr270	100		1001	1001	pr232	100		5	10																																																																					0
cm824	1	1		100	16	361	670		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		13	13	pr270	100		1001	1001	pr233	100		5	10																																																																					0
cm825	1	1		100	16	361	692		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		14	14	pr270	100		1001	1001	pr234	100		5	10																																																																					0
cm826	1	1		100	16	361	715		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		15	15	pr270	100		1001	1001	pr235	100		5	10																																																																					0
cm827	1	1		100	16	361	737		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		16	16	pr270	100		1001	1001	pr86	100		5	10																																																																					0
cm828	1	1		100	16	361	760		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		17	17	pr270	100		1001	1001	pr66	100		5	8	pr29	100		20	40																																																																0
cm829	1	1		100	16	361	782		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		18	18	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm830	1	1		100	16	361	805		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		19	19	pr270	100		1001	1001	pr113	100		20	30																																																																					0
cm831	1	1		100	16	361	827		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		20	20	pr270	100		1001	1001	pr55	100		20	30																																																																					0
cm832	1	1		100	16	361	850		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		21	21	pr270	100		1001	1001	pr108	100		20	30																																																																					0
cm833																	void																																																																																							0
cm834	1	1		100	16	361	865		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		22	22	pr270	100		1001	1001	pr55	100		20	20	pr29	100		80	120																																																																0
cm835	1	1		100	16	361	880		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		23	23	pr270	100		1001	1001	pr55	100		20	30	pr108	100		20	30																																																																0
cm836	1	1		100	16	361	895		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		24	24	pr270	100		1001	1001	pr92	100		1	1	pr29	100		50	70																																																																0
cm837	1	1		100	16	361	910		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		25	25	pr270	100		1001	1001	pr113	100		15	25	pr29	100		50	70																																																																0
cm838	1	1		100	16	361	925		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		26	26	pr270	100		1001	1001	pr15	100		250	350	pr29	100		80	120																																																																0
cm839	1	1		100	16	361	940		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		27	27	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm840	1	1		100	16	361	955		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		28	28	pr270	100		1001	1001	pr244	100		3	5	pr86	100		10	10																																																																0
cm841	1	1		100	16	361	970		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		29	29	pr270	100		1001	1001	pr246	100		3	5	pr86	100		10	10																																																																0
cm842	1	1		100	16	361	985		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		30	30	pr270	100		1001	1001	pr245	100		3	5	pr86	100		10	10																																																																0
cm843	1	1		100	16	361	1000		2	"weap,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		31	31	pr270	100		1001	1001	pr247	100		3	5	pr86	100		10	10																																																																0
cm844																	void																																																																																							0
cm845	1	1		100	16	361	287		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		2	2	pr270	100		1001	1001	pr29	100		40	80																																																																					0
cm846	1	1		100	16	361	325		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		3	3	pr270	100		1001	1001	pr15	100		100	250																																																																					0
cm847	1	1		100	16	361	362		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		4	4	pr270	100		1001	1001	pr331	100		3	6																																																																					0
cm848	1	1		100	16	361	400		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		5	5	pr270	100		1001	1001	pr100	100		200	300	pr98	100		125	175																																																																0
cm849	1	1		100	16	361	437		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		6	6	pr270	100		1001	1001	pr75	100		-50	-25																																																																					0
cm850	1	1		100	16	361	475		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		7	7	pr270	100		1001	1001	pr59	100		20	30																																																																					0
cm851	1	1		100	16	361	512		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		4	6																																																																					0
cm852	1	1		100	16	361	550		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		2	5																																																																					0
cm853	1	1		100	16	361	587		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		10	10	pr270	100		1001	1001	pr11	100		30	50																																																																					0
cm854	1	1		100	16	361	625		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		11	11	pr270	100		1001	1001	pr79	100		8	12																																																																					0
cm855																	void																																																																																							0
cm856	1	1		100	16	361	647		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		12	12	pr270	100		1001	1001	pr232	100		5	10																																																																					0
cm857	1	1		100	16	361	670		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		13	13	pr270	100		1001	1001	pr233	100		5	10																																																																					0
cm858	1	1		100	16	361	692		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		14	14	pr270	100		1001	1001	pr234	100		5	10																																																																					0
cm859	1	1		100	16	361	715		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		15	15	pr270	100		1001	1001	pr235	100		5	10																																																																					0
cm860	1	1		100	16	361	737		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		16	16	pr270	100		1001	1001	pr86	100		5	10																																																																					0
cm861	1	1		100	16	361	760		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		17	17	pr270	100		1001	1001	pr66	100		5	8	pr29	100		20	40																																																																0
cm862	1	1		100	16	361	782		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		18	18	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm863	1	1		100	16	361	805		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		19	19	pr270	100		1001	1001	pr113	100		20	30																																																																					0
cm864	1	1		100	16	361	827		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		20	20	pr270	100		1001	1001	pr55	100		20	30																																																																					0
cm865	1	1		100	16	361	850		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		21	21	pr270	100		1001	1001	pr108	100		20	30																																																																					0
cm866																	void																																																																																							0
cm867	1	1		100	16	361	865		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		22	22	pr270	100		1001	1001	pr55	100		20	20	pr29	100		80	120																																																																0
cm868	1	1		100	16	361	880		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		23	23	pr270	100		1001	1001	pr55	100		20	30	pr108	100		20	30																																																																0
cm869	1	1		100	16	361	895		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		24	24	pr270	100		1001	1001	pr92	100		1	1	pr29	100		50	70																																																																0
cm870	1	1		100	16	361	910		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		25	25	pr270	100		1001	1001	pr113	100		15	25	pr29	100		50	70																																																																0
cm871	1	1		100	16	361	925		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		26	26	pr270	100		1001	1001	pr15	100		250	350	pr29	100		80	120																																																																0
cm872	1	1		100	16	361	940		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		27	27	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm873	1	1		100	16	361	955		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		28	28	pr270	100		1001	1001	pr244	100		3	5	pr86	100		10	10																																																																0
cm874	1	1		100	16	361	970		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		29	29	pr270	100		1001	1001	pr246	100		3	5	pr86	100		10	10																																																																0
cm875	1	1		100	16	361	985		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		30	30	pr270	100		1001	1001	pr245	100		3	5	pr86	100		10	10																																																																0
cm876	1	1		100	16	361	1000		2	"weap,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		31	31	pr270	100		1001	1001	pr247	100		3	5	pr86	100		10	10																																																																0
cm877																	void																																																																																							0
cm878	1	1		100	16	361	287		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		2	2	pr270	100		1001	1001	pr29	100		40	80																																																																					0
cm879	1	1		100	16	361	325		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		3	3	pr270	100		1001	1001	pr15	100		100	250																																																																					0
cm880	1	1		100	16	361	362		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		4	4	pr270	100		1001	1001	pr331	100		3	6																																																																					0
cm881	1	1		100	16	361	400		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		5	5	pr270	100		1001	1001	pr100	100		200	300	pr98	100		125	175																																																																0
cm882	1	1		100	16	361	437		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		6	6	pr270	100		1001	1001	pr75	100		-50	-25																																																																					0
cm883	1	1		100	16	361	475		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		7	7	pr270	100		1001	1001	pr59	100		20	30																																																																					0
cm884	1	1		100	16	361	512		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		4	6																																																																					0
cm885	1	1		100	16	361	550		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		2	5																																																																					0
cm886	1	1		100	16	361	587		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		10	10	pr270	100		1001	1001	pr11	100		30	50																																																																					0
cm887	1	1		100	16	361	625		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		11	11	pr270	100		1001	1001	pr79	100		8	12																																																																					0
cm888																	void																																																																																							0
cm889	1	1		100	16	361	647		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		12	12	pr270	100		1001	1001	pr232	100		5	10																																																																					0
cm890	1	1		100	16	361	670		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		13	13	pr270	100		1001	1001	pr233	100		5	10																																																																					0
cm891	1	1		100	16	361	692		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		14	14	pr270	100		1001	1001	pr234	100		5	10																																																																					0
cm892	1	1		100	16	361	715		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		15	15	pr270	100		1001	1001	pr235	100		5	10																																																																					0
cm893	1	1		100	16	361	737		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		16	16	pr270	100		1001	1001	pr86	100		5	10																																																																					0
cm894	1	1		100	16	361	760		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		17	17	pr270	100		1001	1001	pr66	100		5	8	pr29	100		20	40																																																																0
cm895	1	1		100	16	361	782		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		18	18	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm896	1	1		100	16	361	805		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		19	19	pr270	100		1001	1001	pr113	100		20	30																																																																					0
cm897	1	1		100	16	361	827		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		20	20	pr270	100		1001	1001	pr55	100		20	30																																																																					0
cm898	1	1		100	16	361	850		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		21	21	pr270	100		1001	1001	pr108	100		20	30																																																																					0
cm899																	void																																																																																							0
cm900	1	1		100	16	361	865		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		22	22	pr270	100		1001	1001	pr55	100		20	20	pr29	100		80	120																																																																0
cm901	1	1		100	16	361	880		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		23	23	pr270	100		1001	1001	pr55	100		20	30	pr108	100		20	30																																																																0
cm902	1	1		100	16	361	895		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		24	24	pr270	100		1001	1001	pr92	100		1	1	pr29	100		50	70																																																																0
cm903	1	1		100	16	361	910		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		25	25	pr270	100		1001	1001	pr113	100		15	25	pr29	100		50	70																																																																0
cm904	1	1		100	16	361	925		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		26	26	pr270	100		1001	1001	pr15	100		250	350	pr29	100		80	120																																																																0
cm905	1	1		100	16	361	940		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		27	27	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm906	1	1		100	16	361	955		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		28	28	pr270	100		1001	1001	pr244	100		3	5	pr86	100		10	10																																																																0
cm907	1	1		100	16	361	970		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		29	29	pr270	100		1001	1001	pr246	100		3	5	pr86	100		10	10																																																																0
cm908	1	1		100	16	361	985		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		30	30	pr270	100		1001	1001	pr245	100		3	5	pr86	100		10	10																																																																0
cm909	1	1		100	16	361	1000		2	"weap,set,sock"	"wss,qty=1"						useitem			100	pr269	100		31	31	pr270	100		1001	1001	pr247	100		3	5	pr86	100		10	10																																																																0
cm910																	void																																																																																							0
cm911	1	1		100	16	361	287		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		2	2	pr270	100		1001	1001	pr29	100		40	80																																																																					0
cm912	1	1		100	16	361	325		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		3	3	pr270	100		1001	1001	pr15	100		100	250																																																																					0
cm913	1	1		100	16	361	362		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		4	4	pr270	100		1001	1001	pr331	100		3	6																																																																					0
cm914	1	1		100	16	361	400		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		5	5	pr270	100		1001	1001	pr100	100		200	300	pr98	100		125	175																																																																0
cm915	1	1		100	16	361	437		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		6	6	pr270	100		1001	1001	pr75	100		-50	-25																																																																					0
cm916	1	1		100	16	361	475		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		7	7	pr270	100		1001	1001	pr59	100		20	30																																																																					0
cm917	1	1		100	16	361	512		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		4	6																																																																					0
cm918	1	1		100	16	361	550		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		2	5																																																																					0
cm919	1	1		100	16	361	587		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		10	10	pr270	100		1001	1001	pr11	100		30	50																																																																					0
cm920	1	1		100	16	361	625		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		11	11	pr270	100		1001	1001	pr79	100		8	12																																																																					0
cm921																	void																																																																																							0
cm922	1	1		100	16	361	647		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		12	12	pr270	100		1001	1001	pr232	100		5	10																																																																					0
cm923	1	1		100	16	361	670		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		13	13	pr270	100		1001	1001	pr233	100		5	10																																																																					0
cm924	1	1		100	16	361	692		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		14	14	pr270	100		1001	1001	pr234	100		5	10																																																																					0
cm925	1	1		100	16	361	715		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		15	15	pr270	100		1001	1001	pr235	100		5	10																																																																					0
cm926	1	1		100	16	361	737		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		16	16	pr270	100		1001	1001	pr86	100		5	10																																																																					0
cm927	1	1		100	16	361	760		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		17	17	pr270	100		1001	1001	pr66	100		5	8	pr29	100		20	40																																																																0
cm928	1	1		100	16	361	782		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		18	18	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm929	1	1		100	16	361	805		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		19	19	pr270	100		1001	1001	pr113	100		20	30																																																																					0
cm930	1	1		100	16	361	827		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		20	20	pr270	100		1001	1001	pr55	100		20	30																																																																					0
cm931	1	1		100	16	361	850		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		21	21	pr270	100		1001	1001	pr108	100		20	30																																																																					0
cm932																	void																																																																																							0
cm933	1	1		100	16	361	865		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		22	22	pr270	100		1001	1001	pr55	100		20	20	pr29	100		80	120																																																																0
cm934	1	1		100	16	361	880		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		23	23	pr270	100		1001	1001	pr55	100		20	30	pr108	100		20	30																																																																0
cm935	1	1		100	16	361	895		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		24	24	pr270	100		1001	1001	pr92	100		1	1	pr29	100		50	70																																																																0
cm936	1	1		100	16	361	910		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		25	25	pr270	100		1001	1001	pr113	100		15	25	pr29	100		50	70																																																																0
cm937	1	1		100	16	361	925		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		26	26	pr270	100		1001	1001	pr15	100		250	350	pr29	100		80	120																																																																0
cm938	1	1		100	16	361	940		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		27	27	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm939	1	1		100	16	361	955		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		28	28	pr270	100		1001	1001	pr244	100		3	5	pr86	100		10	10																																																																0
cm940	1	1		100	16	361	970		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		29	29	pr270	100		1001	1001	pr246	100		3	5	pr86	100		10	10																																																																0
cm941	1	1		100	16	361	985		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		30	30	pr270	100		1001	1001	pr245	100		3	5	pr86	100		10	10																																																																0
cm942	1	1		100	16	361	1000		2	"weap,uni,sock"	"wss,qty=1"						useitem			100	pr269	100		31	31	pr270	100		1001	1001	pr247	100		3	5	pr86	100		10	10																																																																0
cm943																	void																																																																																							0
cm944	1	1		100	16	361	287		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		2	2	pr270	100		1001	1001	pr29	100		40	80																																																																					0
cm945	1	1		100	16	361	325		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		3	3	pr270	100		1001	1001	pr15	100		100	250																																																																					0
cm946	1	1		100	16	361	362		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		4	4	pr270	100		1001	1001	pr331	100		3	6																																																																					0
cm947	1	1		100	16	361	400		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		5	5	pr270	100		1001	1001	pr100	100		200	300	pr98	100		125	175																																																																0
cm948	1	1		100	16	361	437		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		6	6	pr270	100		1001	1001	pr75	100		-50	-25																																																																					0
cm949	1	1		100	16	361	475		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		7	7	pr270	100		1001	1001	pr59	100		20	30																																																																					0
cm950	1	1		100	16	361	512		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		4	6																																																																					0
cm951	1	1		100	16	361	550		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		2	5																																																																					0
cm952	1	1		100	16	361	587		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		10	10	pr270	100		1001	1001	pr11	100		30	50																																																																					0
cm953	1	1		100	16	361	625		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		11	11	pr270	100		1001	1001	pr79	100		8	12																																																																					0
cm954																	void																																																																																							0
cm955	1	1		100	16	361	647		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		12	12	pr270	100		1001	1001	pr232	100		5	10																																																																					0
cm956	1	1		100	16	361	670		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		13	13	pr270	100		1001	1001	pr233	100		5	10																																																																					0
cm957	1	1		100	16	361	692		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		14	14	pr270	100		1001	1001	pr234	100		5	10																																																																					0
cm958	1	1		100	16	361	715		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		15	15	pr270	100		1001	1001	pr235	100		5	10																																																																					0
cm959	1	1		100	16	361	737		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		16	16	pr270	100		1001	1001	pr86	100		5	10																																																																					0
